Index,mouse_sample,G-CSF,Eotaxin,GM-CSF,INFg,IL-1a,IL-1b,IL-2,IL-4,IL-3,IL-5,IL-6,IL-7,IL-9,IL-10,IL-12p40,IL-12p70,LIF,IL-13,LIX,IL-15,IL-17,IP-10,KC,MCP-1,MIP-1a,MIP-1b,M-CSF,MIP2,MIG,RANTES,VEGF,TNFa
,1-1L,4998,775.5,54.5,98,96,70,88,353,79,53.5,124,88,114,103,122,37.5,94,126,197,89.5,120,570.5,199,68,82,818,62,46,472.5,2508,338.5,73.5
,1-1L,3528,119.5,51,76.5,90.5,75.5,146,242.5,72,58,95.5,55,94,37,121.5,42,78.5,97,124,22,93,271.5,155,18,45,673,78,13,382.5,1618,210,47
,1-1T,747,7392,44,2503,177,83,102,74,91.5,60.5,1741,77.5,95,144,108,45,450,94,178.5,81,82.5,41009.5,287,1535,181,759,107,70,8581,971,5763,84
,1-1T,583,6962.5,49,2380,93,77,98,69,63,63,1536,46,78.5,105,97,44.5,441.5,106,66.5,95,68.5,44063,250.5,1197,143.5,721,105,64.5,8342,816,6297,59
,1-2L,237,1231,46,186.5,54,91,109,545,97,51,1936,89.5,205,107,80,48,304.5,145,155,69,103,2957,117,115.5,95.5,885.5,77,64,4107,3440,153,69
,1-2L,287.5,823,54,221.5,54,61,78.5,450,74,33,1707,69,189,110,95,32.5,341,136.5,104,73.5,87,2964.5,128,153,70,748,69,55,2926.5,4551,186,74.5
,1-2T,721,9086,38.5,978,83.5,75.5,127.5,204,97.5,60.5,2621.5,67,74,131,105,38,614,86,102.5,83,104,49082,308.5,1007,162,795,109,95,9835,1275,8211.5,68.5
,1-2T,733,9377,36,1079,101.5,84,128,214.5,111,58,2525,71,69.5,143.5,125,48,652,107,108.5,86,73,50192,320,1226,186,857,142,104.5,10726,1241,9340,76.5
,1-3L,214,336,51,169,74,89,144,324,60,41,360,76.5,158.5,105,81,56,97,86,111,97.5,59,2143.5,144,77.5,85,750,116,45,828.5,2745,220,93
,1-3L,178,237,39.5,139,62,63,79,275,77.5,37,296,72,104,93,95,21,117.5,83,92,76,71,1753,83,48,41,893,66,50.5,439,2053,170,67
,1-3T,1934,9585,54.5,186,120,71,121,732.5,237.5,55,9370,86,82,128.5,117,62,1724.5,107,241.5,89,98.5,30335,2814,591.5,801,854.5,106,29167,3442,549.5,4853,66.5
,1-3T,1784,9599,37,175,98,72,96,745,233,48,9392,69.5,89,119.5,116,60,1822,88,239.5,91,94,30878.5,2557.5,555,793,858,123.5,29398,3065.5,580,5307,81
,1-4L,822,625.5,41.5,99,63.5,62,105,559,71,48,166,91,120,102.5,98,39,123,127,141,69,83,1666,129,39,39.5,748.5,76.5,46.5,1253,2901.5,183,87
,1-4L,799,499,45,116.5,58,45,85,493,88,34,164,77,123,80,82.5,37.5,120,113,148,67.5,72,1517,138.5,47,53,773.5,68.5,38.5,885,2894.5,147.5,72
,1-4T,574,12667,43.5,1434,135,84.5,116.5,150,84,51,3780.5,82,105,141,109.5,55,865,91,113,89,97.5,34487,604,1514,217,824,122,493,11648,1454,6640.5,79
,1-4T,671,12503,55,1462.5,130,75,158,115,110,74.5,3914,76,107,101,120,55.5,870,99,138,80,88.5,35782,626.5,1548,200,727,141,498,11736.5,1447,6697,75
,1-5L,83,172.5,64.5,94.5,51,71,101,392,68,51,107,66,113,95,102.5,38,68,101,107.5,63,63,470,154,45,55,751.5,52,48,714,2018,90,55.5
,1-5L,96.5,373,28,102.5,67,62,82,404,83,42,132,72.5,122,119.5,98,37.5,80,100,133,68,92,741,146.5,51,48,753.5,63,47.5,715.5,2052.5,97,79
,1-5T,679,16698,43,6861.5,106.5,85,129,76,76,109,1255,109,62,166,169.5,41,565.5,153,146,109.5,111,55188,286,2906.5,1901,919,165.5,94,17585,2954,11228,92
